"MOIS","PRODUITS","VILLE","PRIX"
"août","POIVRON (kg)","YAMOUSSOUKRO",1500
"août","POIVRON (kg)","MAN",2000
"août","POIVRON (kg)","KORHOGO",2000
"septembre","POIVRON (kg)","ABIDJAN",700
"septembre","POIVRON (kg)","SANPEDRO",1500
"septembre","POIVRON (kg)","BOUAKE",1500
"septembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"septembre","POIVRON (kg)","MAN",2000
"septembre","POIVRON (kg)","KORHOGO",2000
"septembre","POIVRON (kg)","ABIDJAN",600
"septembre","POIVRON (kg)","SANPEDRO",1200
"septembre","POIVRON (kg)","BOUAKE",1000
"septembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"septembre","POIVRON (kg)","MAN",2000
"septembre","POIVRON (kg)","KORHOGO",1000
"septembre","POIVRON (kg)","ABIDJAN",600
"septembre","POIVRON (kg)","SANPEDRO",1200
"septembre","POIVRON (kg)","BOUAKE",1000
"septembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"septembre","POIVRON (kg)","MAN",2000
"septembre","POIVRON (kg)","KORHOGO",1000
"septembre","POIVRON (kg)","ABIDJAN",600
"septembre","POIVRON (kg)","SANPEDRO",1200
"septembre","POIVRON (kg)","BOUAKE",1000
"septembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"septembre","POIVRON (kg)","MAN",2000
"septembre","POIVRON (kg)","KORHOGO",1000
"octobre","POIVRON (kg)","ABIDJAN",600
"octobre","POIVRON (kg)","SANPEDRO",1200
"octobre","POIVRON (kg)","BOUAKE",1000
"octobre","POIVRON (kg)","YAMOUSSOUKRO",1500
"octobre","POIVRON (kg)","MAN",2000
"octobre","POIVRON (kg)","KORHOGO",1000
"octobre","POIVRON (kg)","ABIDJAN",600
"octobre","POIVRON (kg)","SANPEDRO",1200
"octobre","POIVRON (kg)","BOUAKE",1000
"octobre","POIVRON (kg)","YAMOUSSOUKRO",1500
"octobre","POIVRON (kg)","MAN",2000
"octobre","POIVRON (kg)","KORHOGO",1000
"octobre","POIVRON (kg)","ABIDJAN",600
"octobre","POIVRON (kg)","SANPEDRO",1200
"octobre","POIVRON (kg)","BOUAKE",1000
"octobre","POIVRON (kg)","YAMOUSSOUKRO",1500
"octobre","POIVRON (kg)","MAN",2000
"octobre","POIVRON (kg)","KORHOGO",1000
"octobre","POIVRON (kg)","ABIDJAN",600
"octobre","POIVRON (kg)","SANPEDRO",1200
"octobre","POIVRON (kg)","BOUAKE",1000
"octobre","POIVRON (kg)","YAMOUSSOUKRO",1500
"octobre","POIVRON (kg)","MAN",2000
"octobre","POIVRON (kg)","KORHOGO",1000
"novembre","POIVRON (kg)","ABIDJAN",1000
"novembre","POIVRON (kg)","SANPEDRO",1500
"novembre","POIVRON (kg)","BOUAKE",1500
"novembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"novembre","POIVRON (kg)","MAN",2000
"novembre","POIVRON (kg)","KORHOGO",2000
"novembre","POIVRON (kg)","ABIDJAN",1000
"novembre","POIVRON (kg)","SANPEDRO",1500
"novembre","POIVRON (kg)","BOUAKE",1500
"novembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"novembre","POIVRON (kg)","MAN",2000
"novembre","POIVRON (kg)","KORHOGO",2000
"novembre","POIVRON (kg)","ABIDJAN",1000
"novembre","POIVRON (kg)","SANPEDRO",1500
"novembre","POIVRON (kg)","BOUAKE",1500
"novembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"novembre","POIVRON (kg)","MAN",2000
"novembre","POIVRON (kg)","KORHOGO",2000
"novembre","POIVRON (kg)","ABIDJAN",1000
"novembre","POIVRON (kg)","SANPEDRO",1500
"novembre","POIVRON (kg)","BOUAKE",1500
"novembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"novembre","POIVRON (kg)","MAN",2000
"novembre","POIVRON (kg)","KORHOGO",2000
"novembre","POIVRON (kg)","ABIDJAN",1000
"novembre","POIVRON (kg)","SANPEDRO",1500
"novembre","POIVRON (kg)","BOUAKE",1500
"novembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"novembre","POIVRON (kg)","MAN",2000
"novembre","POIVRON (kg)","KORHOGO",2000
"décembre","POIVRON (kg)","ABIDJAN",1000
"décembre","POIVRON (kg)","SANPEDRO",1500
"décembre","POIVRON (kg)","BOUAKE",1500
"décembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"décembre","POIVRON (kg)","MAN",2000
"décembre","POIVRON (kg)","KORHOGO",2000
"décembre","POIVRON (kg)","ABIDJAN",1000
"décembre","POIVRON (kg)","SANPEDRO",1500
"décembre","POIVRON (kg)","BOUAKE",1500
"décembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"décembre","POIVRON (kg)","MAN",2000
"décembre","POIVRON (kg)","KORHOGO",2000
"décembre","POIVRON (kg)","ABIDJAN",1000
"décembre","POIVRON (kg)","SANPEDRO",1500
"décembre","POIVRON (kg)","BOUAKE",1500
"décembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"décembre","POIVRON (kg)","MAN",2000
"décembre","POIVRON (kg)","KORHOGO",2000
"janvier","POIVRON (kg)","ABIDJAN",800
"janvier","POIVRON (kg)","BOUAKE",350
"janvier","POIVRON (kg)","KORHOGO",300
"janvier","POIVRON (kg)","MAN",400
"janvier","POIVRON (kg)","SANPEDRO",0
"janvier","POIVRON (kg)","YAMOUSSOUKRO",300
"janvier","POIVRON (kg)","ABIDJAN",800
"janvier","POIVRON (kg)","BOUAKE",350
"janvier","POIVRON (kg)","KORHOGO",300
"janvier","POIVRON (kg)","MAN",400
"janvier","POIVRON (kg)","SANPEDRO",0
"janvier","POIVRON (kg)","YAMOUSSOUKRO",300
"janvier","POIVRON (kg)","ABIDJAN",800
"janvier","POIVRON (kg)","BOUAKE",350
"janvier","POIVRON (kg)","KORHOGO",300
"janvier","POIVRON (kg)","MAN",400
"janvier","POIVRON (kg)","SANPEDRO",0
"janvier","POIVRON (kg)","YAMOUSSOUKRO",300
"janvier","POIVRON (kg)","ABIDJAN",800
"janvier","POIVRON (kg)","BOUAKE",350
"janvier","POIVRON (kg)","KORHOGO",300
"janvier","POIVRON (kg)","MAN",400
"janvier","POIVRON (kg)","SANPEDRO",0
"janvier","POIVRON (kg)","YAMOUSSOUKRO",300
"février","POIVRON (kg)","ABIDJAN",800
"février","POIVRON (kg)","BOUAKE",350
"février","POIVRON (kg)","KORHOGO",300
"février","POIVRON (kg)","MAN",400
"février","POIVRON (kg)","SANPEDRO",0
"février","POIVRON (kg)","YAMOUSSOUKRO",300
"février","POIVRON (kg)","ABIDJAN",800
"février","POIVRON (kg)","BOUAKE",1000
"février","POIVRON (kg)","KORHOGO",1000
"février","POIVRON (kg)","MAN",2500
"février","POIVRON (kg)","SANPEDRO",800
"février","POIVRON (kg)","YAMOUSSOUKRO",1500
"février","POIVRON (kg)","ABIDJAN",700
"février","POIVRON (kg)","BOUAKE",1000
"février","POIVRON (kg)","KORHOGO",1000
"février","POIVRON (kg)","MAN",2500
"février","POIVRON (kg)","SANPEDRO",800
"février","POIVRON (kg)","YAMOUSSOUKRO",1500
"février","POIVRON (kg)","ABIDJAN",800
"février","POIVRON (kg)","BOUAKE",1000
"février","POIVRON (kg)","KORHOGO",1000
"février","POIVRON (kg)","MAN",2500
"février","POIVRON (kg)","SANPEDRO",800
"février","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","ABIDJAN",800
"mars","POIVRON (kg)","BOUAKE",1000
"mars","POIVRON (kg)","KORHOGO",1000
"mars","POIVRON (kg)","MAN",3000
"mars","POIVRON (kg)","SANPEDRO",800
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","ABIDJAN",800
"mars","POIVRON (kg)","BOUAKE",800
"mars","POIVRON (kg)","KORHOGO",1000
"mars","POIVRON (kg)","MAN",2000
"mars","POIVRON (kg)","SANPEDRO",800
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","ABIDJAN",700
"mars","POIVRON (kg)","BOUAKE",600
"mars","POIVRON (kg)","KORHOGO",1000
"mars","POIVRON (kg)","MAN",2000
"mars","POIVRON (kg)","SANPEDRO",800
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","ABIDJAN",600
"mars","POIVRON (kg)","BOUAKE",600
"mars","POIVRON (kg)","KORHOGO",1000
"mars","POIVRON (kg)","MAN",2000
"mars","POIVRON (kg)","SANPEDRO",800
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"avril","POIVRON (kg)","ABIDJAN",600
"avril","POIVRON (kg)","BOUAKE",600
"avril","POIVRON (kg)","KORHOGO",1000
"avril","POIVRON (kg)","MAN",2000
"avril","POIVRON (kg)","SANPEDRO",800
"avril","POIVRON (kg)","YAMOUSSOUKRO",1500
"avril","POIVRON (kg)","ABIDJAN",800
"avril","POIVRON (kg)","BOUAKE",600
"avril","POIVRON (kg)","KORHOGO",1000
"avril","POIVRON (kg)","MAN",1500
"avril","POIVRON (kg)","SANPEDRO",800
"avril","POIVRON (kg)","YAMOUSSOUKRO",1500
"avril","POIVRON (kg)","ABIDJAN",800
"avril","POIVRON (kg)","BOUAKE",800
"avril","POIVRON (kg)","KORHOGO",1000
"avril","POIVRON (kg)","MAN",1500
"avril","POIVRON (kg)","SANPEDRO",800
"avril","POIVRON (kg)","YAMOUSSOUKRO",1500
"mai","POIVRON (kg)","ABIDJAN",800
"mai","POIVRON (kg)","BOUAKE",1200
"mai","POIVRON (kg)","KORHOGO",1000
"mai","POIVRON (kg)","MAN",1500
"mai","POIVRON (kg)","SANPEDRO",800
"mai","POIVRON (kg)","YAMOUSSOUKRO",1500
"mai","POIVRON (kg)","ABIDJAN",1000
"mai","POIVRON (kg)","BOUAKE",350
"mai","POIVRON (kg)","KORHOGO",1500
"mai","POIVRON (kg)","MAN",2000
"mai","POIVRON (kg)","SANPEDRO",1500
"mai","POIVRON (kg)","YAMOUSSOUKRO",1500
"mai","POIVRON (kg)","ABIDJAN",1000
"mai","POIVRON (kg)","BOUAKE",1500
"mai","POIVRON (kg)","KORHOGO",1500
"mai","POIVRON (kg)","MAN",2000
"mai","POIVRON (kg)","SANPEDRO",1500
"mai","POIVRON (kg)","YAMOUSSOUKRO",1500
"mai","POIVRON (kg)","ABIDJAN",700
"mai","POIVRON (kg)","BOUAKE",1500
"mai","POIVRON (kg)","KORHOGO",1500
"mai","POIVRON (kg)","MAN",2000
"mai","POIVRON (kg)","SANPEDRO",1000
"mai","POIVRON (kg)","YAMOUSSOUKRO",1500
"juin","POIVRON (kg)","ABIDJAN",700
"juin","POIVRON (kg)","BOUAKE",1500
"juin","POIVRON (kg)","KORHOGO",1500
"juin","POIVRON (kg)","MAN",2000
"juin","POIVRON (kg)","SANPEDRO",1000
"juin","POIVRON (kg)","YAMOUSSOUKRO",1500
"juin","POIVRON (kg)","ABIDJAN",600
"juin","POIVRON (kg)","BOUAKE",1300
"juin","POIVRON (kg)","KORHOGO",1500
"juin","POIVRON (kg)","MAN",2000
"juin","POIVRON (kg)","SANPEDRO",900
"juin","POIVRON (kg)","YAMOUSSOUKRO",1500
"juin","POIVRON (kg)","ABIDJAN",600
"juin","POIVRON (kg)","BOUAKE",700
"juin","POIVRON (kg)","KORHOGO",1500
"juin","POIVRON (kg)","MAN",2000
"juin","POIVRON (kg)","SANPEDRO",800
"juin","POIVRON (kg)","YAMOUSSOUKRO",1500
"juillet","POIVRON (kg)","ABIDJAN",600
"juillet","POIVRON (kg)","BOUAKE",700
"juillet","POIVRON (kg)","KORHOGO",1500
"juillet","POIVRON (kg)","MAN",2000
"juillet","POIVRON (kg)","SANPEDRO",800
"juillet","POIVRON (kg)","YAMOUSSOUKRO",1500
"juillet","POIVRON (kg)","ABIDJAN",600
"juillet","POIVRON (kg)","BOUAKE",1000
"juillet","POIVRON (kg)","KORHOGO",1500
"juillet","POIVRON (kg)","MAN",2000
"juillet","POIVRON (kg)","SANPEDRO",800
"juillet","POIVRON (kg)","YAMOUSSOUKRO",1500
"juillet","POIVRON (kg)","ABIDJAN",1200
"juillet","POIVRON (kg)","BOUAKE",1000
"juillet","POIVRON (kg)","KORHOGO",1500
"juillet","POIVRON (kg)","MAN",2000
"juillet","POIVRON (kg)","SANPEDRO",1300
"juillet","POIVRON (kg)","YAMOUSSOUKRO",1500
"juillet","POIVRON (kg)","ABIDJAN",1200
"juillet","POIVRON (kg)","BOUAKE",1000
"juillet","POIVRON (kg)","KORHOGO",1500
"juillet","POIVRON (kg)","MAN",2000
"juillet","POIVRON (kg)","SANPEDRO",1300
"juillet","POIVRON (kg)","YAMOUSSOUKRO",1500
"Août","POIVRON (kg)","ABIDJAN",700
"Août","POIVRON (kg)","BOUAKE",1000
"Août","POIVRON (kg)","KORHOGO",1500
"Août","POIVRON (kg)","MAN",2000
"Août","POIVRON (kg)","SANPEDRO",1000
"Août","POIVRON (kg)","YAMOUSSOUKRO",1000
"Août","POIVRON (kg)","ABIDJAN",700
"Août","POIVRON (kg)","BOUAKE",700
"Août","POIVRON (kg)","KORHOGO",1500
"Août","POIVRON (kg)","MAN",1500
"Août","POIVRON (kg)","SANPEDRO",800
"Août","POIVRON (kg)","YAMOUSSOUKRO",1500
"Août","POIVRON (kg)","ABIDJAN",700
"Août","POIVRON (kg)","BOUAKE",700
"Août","POIVRON (kg)","KORHOGO",1500
"Août","POIVRON (kg)","MAN",1500
"Août","POIVRON (kg)","SANPEDRO",800
"Août","POIVRON (kg)","YAMOUSSOUKRO",1500
"Août","POIVRON (kg)","YAMOUSSOUKRO",1500
"Août","POIVRON (kg)","KORHOGO",1500
"Août","POIVRON (kg)","MAN",1500
"Août","POIVRON (kg)","ABIDJAN",700
"Août","POIVRON (kg)","BOUAKE",700
"Août","POIVRON (kg)","SANPEDRO",800
"Septembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"Septembre","POIVRON (kg)","KORHOGO",1500
"Septembre","POIVRON (kg)","MAN",1500
"Septembre","POIVRON (kg)","ABIDJAN",800
"Septembre","POIVRON (kg)","BOUAKE",700
"Septembre","POIVRON (kg)","SANPEDRO",800
"Septembre","POIVRON (kg)","ABIDJAN",1100
"Septembre","POIVRON (kg)","SANPEDRO",1300
"Septembre","POIVRON (kg)","BOUAKE",200
"Septembre","POIVRON (kg)","YAMOUSSOUKRO",250
"Septembre","POIVRON (kg)","MAN",NA
"Septembre","POIVRON (kg)","KORHOGO",600
"Septembre","POIVRON (kg)","ABIDJAN",1000
"Septembre","POIVRON (kg)","SANPEDRO",1300
"Septembre","POIVRON (kg)","BOUAKE",800
"Septembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"Septembre","POIVRON (kg)","MAN",1500
"Septembre","POIVRON (kg)","KORHOGO",1500
"Septembre","POIVRON (kg)","ABIDJAN",1000
"Septembre","POIVRON (kg)","SANPEDRO",1300
"Septembre","POIVRON (kg)","BOUAKE",800
"Septembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"Septembre","POIVRON (kg)","MAN",1500
"Septembre","POIVRON (kg)","KORHOGO",1500
"Octobre","POIVRON (kg)","ABIDJAN",1000
"Octobre","POIVRON (kg)","SANPEDRO",1300
"Octobre","POIVRON (kg)","BOUAKE",800
"Octobre","POIVRON (kg)","YAMOUSSOUKRO",1500
"Octobre","POIVRON (kg)","MAN",1500
"Octobre","POIVRON (kg)","KORHOGO",1500
